txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,part1,part2,part3,part4,part5,part6
0xfb47caecd029d2f6186b2b4dfb7b7bf68290b7772f5a71029f31c34f22d41b73,7375967,Aquatic,1,"0,00066088","1,15",2023-06-10 14:33:35,eyes-clear,ears-inkling,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo
0x533dd58a4d463b802a4c4509659853d1cd52c74cbfaa6a6e6dc95e8cc89491be,9984137,Bird,3,"0,0026","4,53",2023-06-10 14:34:14,eyes-little-owl,ears-owl,back-pigeon-post,mouth-little-owl,horn-eggshell,tail-koi
0x701a1bdcfdd78d0000c39690ddffe25d963cc1fb25df7772f88b60685742d1eb,8126601,Aquatic,2,"0,00067","1,17",2023-06-10 14:34:05,eyes-gero,ears-gill,back-anemone,mouth-lam,horn-anemone,tail-nimo
0x90670913bbe6ec8480a520528f8017f75108fa6b8ceea7c7c53da1be5d6c8cbe,11763162,Mech,0,"0,024","41,85",2023-06-10 14:33:56,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-risky-fish,horn-bumpy,tail-nimo
0x32334ff1d7498d0d956182b86250fe245d1f5e400d508e3c3e732143dbcb1155,8247450,Aquatic,4,"0,00068","1,19",2023-06-10 14:33:53,eyes-gero,ears-inkling,back-anemone,mouth-tiny-turtle,horn-anemone,tail-nimo
0x5181aed5e353dc63555ced8873f79ed2f6763591a9957c53a28133e12163dd6f,11729789,Mech,3,"0,00732","12,76",2023-06-10 14:33:50,eyes-papi,ears-innocent-lamb,back-risky-beast,mouth-silence-whisper,horn-scaly-spoon,tail-ant
0xdbd0611cd5d5d7280e004be414b30f98310d10eb19f6cf50c6b7f4b79c7e4401,7881624,Aquatic,6,"0,00068","1,18",2023-06-10 14:34:44,eyes-mavis,ears-inkling,back-anemone,mouth-tiny-turtle,horn-anemone,tail-nimo
0x3aad0f290b0270513d3f266d35fd72d4875f5a07779b56f0a99d12447bf01301,11329598,Plant,0,"0,0011","1,92",2023-06-10 14:34:14,eyes-tricky,ears-lotus,back-sandal,mouth-goda,horn-unko,tail-cattail
0x601e5e1fd7d6a1396867d82ab808e6eb216e0c1b06a66c274671ae530a61e6d4,11732294,Beast,5,"0,02616228","45,57",2023-06-10 14:36:23,eyes-topaz,ears-innocent-lamb,back-ronin,mouth-confident,horn-imp,tail-nimo
0x0275ff155752c1416ecc6c0b3f4d44459142b1faad104530ac0a78f75f65bd7c,11555881,Dawn,0,"0,0021","3,66",2023-06-10 14:35:44,eyes-zeal,ears-curved-spine,back-shiitake,mouth-nut-cracker,horn-bumpy,tail-wall-gecko
