,Unnamed: 0,User ID,Name,Rank,Elo,Tier,Avatar,vstar,ended_time,axie_1,Axie 1 Class,Axie 1 Eyes Part ID,Axie 1 Ears Part ID,Axie 1 Horn Part ID,Axie 1 Back Part ID,Axie 1 Mouth Part ID,Axie 1 Tail Part ID,axie_2,Axie 2 Class,Axie 2 Eyes Part ID,Axie 2 Ears Part ID,Axie 2 Horn Part ID,Axie 2 Back Part ID,Axie 2 Mouth Part ID,Axie 2 Tail Part ID,axie_3,Axie 3 Class,Axie 3 Eyes Part ID,Axie 3 Ears Part ID,Axie 3 Horn Part ID,Axie 3 Back Part ID,Axie 3 Mouth Part ID,Axie 3 Tail Part ID,axie_1_rune,axie_2_rune,axie_3_rune,axie_1_eyes_charm,axie_1_mouth_charm,axie_1_ears_charm,axie_1_horn_charm,axie_1_back_charm,axie_1_tail_charm,axie_2_eyes_charm,axie_2_mouth_charm,axie_2_ears_charm,axie_2_horn_charm,axie_2_back_charm,axie_2_tail_charm,axie_3_eyes_charm,axie_3_mouth_charm,axie_3_ears_charm,axie_3_horn_charm,axie_3_back_charm,axie_3_tail_charm,Comp
172,172,1ec9eb6f-61d7-66b3-a60c-6e550fe1c005,The Great One,173,Bear,1,s2_top1k;silver_s1,1160,2023-07-27 03:39:57,17,plant,Little Peas,Leafy,Beech,Buzz Buzz,Humorless,Fish Snack,11544360,beast,Little Peas,Innocent Lamb,Cactus,Ronin,Confident,Cottontail,11496374,beast,Little Peas,Nut Cracker,Little Branch,Ronin,Nut Cracker,Nut Cracker,rune_neutral_2010_s5_nft,rune_beast_tripp_1,rune_beast_2010_s5_nondec,ecard_neutral_1005,ecard_neutral_1004,ecard_bug_pomodoro_1,ecard_neutral_1004,ecard_neutral_1002,ecard_neutral_1004,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2020_s5_nft,ecard_neutral_1002,ecard_neutral_1002,ecard_beast_buba_1,ecard_beast_buba_1,ecard_neutral_1011_s5,ecard_neutral_1011_s5,Beast Aggro
173,173,1ec9eb6f-4237-6c8b-a60c-df7f8ea6afb0,Giga | KYT,174,Bear,1,s4_top20k;gold_s4,1160,2023-07-26 20:35:30,11675443,bug,Clear,Small Frill,Scaly Spoon,Green Thorns,Tiny Turtle,Cottontail,11663393,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Silence Whisper,Potato Leaf,11600441,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Silence Whisper,Tiny Dino,rune_bug_2011_s5_nft,rune_reptile_venoki_1,rune_reptile_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_venoki_1,ecard_neutral_1004,ecard_reptile_venoki_1,ecard_plant_2013_s5_nft,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_neutral_2017_s5_nondec,ecard_neutral_1001,ecard_neutral_2017_s5_nondec,ecard_neutral_1011_s5,Poison
174,174,1ec9eb6f-3fde-68a4-a60c-272fdff19ae5,ProofOfTravis,175,Bear,1,tournament_atia;patrick23,1160,2023-07-26 22:25:20,11783932,aquatic,Little Peas,Leafy,Bamboo Shoot,Bone Sail,Serious,Ranchu,11802325,reptile,Papi,Leafy,Bamboo Shoot,Mint,Serious,Gerbil,11801293,beast,Papi,Leafy,Bamboo Shoot,Ronin,Razor Bite,Shrimp,rune_neutral_offensive_1,rune_neutral_offensive_1,rune_neutral_offensive_1,ecard_neutral_1011_s5,ecard_neutral_1002,ecard_neutral_1012_s5,ecard_plant_ena_1,ecard_neutral_1013_s5,ecard_aquatic_puffy_1,ecard_plant_2012_s5_nft,ecard_plant_2013_s5_nft,ecard_neutral_1003,ecard_plant_2013_s5_nft,ecard_neutral_2017_s5_nondec,ecard_beast_2011_s5_nft,ecard_plant_2012_s5_nft,ecard_reptile_2011_s5_nft,ecard_neutral_1003,ecard_plant_ena_1,ecard_beast_2011_s5_nft,ecard_aquatic_2011_s5_nft,Leafy
175,175,1ec9eb7e-6edc-6ccf-a60c-d8354db56731,the chunky clown,176,Bear,1,0;0,1160,2023-07-27 02:34:20,10086778,plant,Blossom,Rosa,Leaf Bug,Pumpkin,Serious,Hot Butt,5833657,plant,Confused,Hollow,Leaf Bug,Pumpkin,Serious,Hot Butt,6258428,plant,Confused,Clover,Leaf Bug,Bidens,Serious,Hot Butt,rune_neutral_utility_1,rune_plant_2010_s5_nft,rune_plant_2010_s5_nft,ecard_neutral_1001,ecard_plant_2013_s5_nft,ecard_plant_2013_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_plant_2012_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_neutral_1001,Hot Butt
176,176,1ec9eb6f-a2cd-64c6-a60c-4b2e386567c6,Pstingin,177,Bear,1,,1150,2023-07-27 03:43:45,11796432,mech,Blossom,Leafy,Bamboo Shoot,Spiky Wing,Goda,Ranchu,11801812,beast,Chubby,Leafy,Bamboo Shoot,Risky Beast,Razor Bite,Shrimp,11802135,plant,Papi,Leafy,Bamboo Shoot,Bone Sail,Piranha,Cottontail,rune_neutral_utility_1,rune_beast_2011_s5_nft,rune_neutral_utility_1,ecard_plant_2013_s5_nft,ecard_neutral_2010_s5_nft,ecard_neutral_1010_s5,ecard_plant_2013_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1003,ecard_reptile_2011_s5_nft,ecard_neutral_1003,ecard_neutral_1002,ecard_beast_2011_s5_nft,ecard_neutral_1001,ecard_plant_olek_1,ecard_neutral_1002,ecard_neutral_1003,ecard_neutral_1002,ecard_neutral_1001,ecard_neutral_1001,Leafy
177,177,1ec9eb6f-6fc5-68ea-a60c-ef8913857d1c,KALADIN,178,Bear,1,buba_joker;iron_s2,1150,2023-07-27 03:36:53,4597256,plant,Papi,Leafy,Bamboo Shoot,Shiitake,Serious,Yam,11736466,plant,Papi,Leafy,Bamboo Shoot,Buzz Buzz,Axie Kiss,Yam,11762107,reptile,Mavis,Leafy,Scaly Spear,Tri Spikes,Serious,Potato Leaf,rune_plant_2010_s5_nondec,rune_neutral_offensive_1,rune_neutral_offensive_1,ecard_neutral_2010_s5,ecard_neutral_2010_s5,ecard_neutral_2010_s5,ecard_plant_ena_1,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_beast_2011_s5_nft,ecard_neutral_2012_s5_nft,ecard_neutral_2011_s5,ecard_neutral_1003,ecard_neutral_1010_s5,ecard_neutral_1001,ecard_neutral_1011_s5,ecard_neutral_2012_s5,ecard_reptile_2011_s5_nft,ecard_reptile_2013_s5_nft,ecard_neutral_1001,Leafy
178,178,1ec9eb77-5305-64b6-a60c-0df6ed676a4e,Ragnarok|Cuba,179,Bear,1,easter_eggs;silver_s4,1150,2023-07-27 03:31:31,11702449,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Silence Whisper,Grass Snake,11586519,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Toothless Bite,Gila,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,rune_neutral_utility_1,rune_reptile_2011_s5_nft,rune_reptile_venoki_1,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1010_s5,ecard_reptile_2012_s5_nft,ecard_neutral_1001,ecard_reptile_2013_s5_nft,,ecard_reptile_venoki_1,ecard_neutral_1014_s5,ecard_reptile_venoki_1,ecard_neutral_2017_s5_nft,ecard_bug_2011_s5_nft,Poison
179,179,1ed4c404-648e-69c0-bf68-c1e03edf0601,armad5 | G.Ø.S,180,Bear,1,sleepy_beast;bronze_s4,1150,2023-07-26 19:17:41,17,plant,Little Peas,Leafy,Beech,Buzz Buzz,Humorless,Fish Snack,11514695,beast,Little Peas,Innocent Lamb,Little Branch,Ronin,Confident,Cottontail,12,bug,Bookworm,Curved Spine,Babylonia,Garish Worm,Mosquito,Koi,rune_bug_2011_s5_nft,rune_beast_buba_1,rune_neutral_1011_s5,ecard_neutral_1001,ecard_neutral_1001,ecard_bug_pomodoro_1,ecard_neutral_1001,ecard_neutral_2010_s5_nondec,ecard_bug_2011_s5_nft,ecard_beast_buba_1,ecard_beast_tripp_1,ecard_neutral_1010_s5,ecard_beast_buba_1,ecard_neutral_1002,ecard_neutral_1001,ecard_neutral_1001,ecard_bird_2012_s5_nft,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_bird_momo_1,ecard_bird_momo_1,Beast Aggro
180,180,1ec9eb6f-88c5-663b-a60c-16a230330792,XIOX,181,Bear,1,8;0,1150,2023-07-27 02:53:06,11742016,mech,Gero,Innocent Lamb,Shoal Star,Goldfish,Confident,Cloud,11559775,beast,Little Peas,Belieber,Little Branch,Ronin,Axie Kiss,Feather Fan,11543401,plant,Puppy,Pogona,Cactus,Risky Beast,Confident,Cottontail,rune_neutral_2010_s5_nft,rune_beast_2010_s5_nft,rune_plant_2010_s5_nft,ecard_neutral_1001,ecard_neutral_2017_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_aquatic_2011_s5_nft,ecard_neutral_2014_s5_nft,ecard_beast_buba_1,ecard_beast_buba_1,ecard_beast_2012_s5_nft,ecard_beast_2013_s5_nft,ecard_beast_2011_s5_nft,ecard_bird_2012_s5_nft,ecard_neutral_2017_s5_nft,ecard_neutral_2017_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_beast_2013_s5_nft,ecard_neutral_1001,Beast Aggro
181,181,1ec9eb73-a8a5-6020-a60c-96f21144dc0a,Dark Side | Huru,182,Bear,1,s4_top1k;silver_s4,1150,2023-07-27 03:39:34,11743049,dusk,Gecko,Small Frill,Scaly Spoon,Green Thorns,Tiny Turtle,Potato Leaf,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,11712512,reptile,Gecko,Small Frill,Watermelon,Green Thorns,Tiny Turtle,Potato Leaf,rune_neutral_utility_1,rune_reptile_venoki_1,rune_reptile_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1014_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_reptile_venoki_1,ecard_neutral_1001,ecard_bug_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_venoki_1,ecard_neutral_2018_s5,ecard_neutral_1001,ecard_neutral_1013_s5,Poison
182,182,1ec9eb6f-4b56-6d3f-a60c-1a953fce8250,LF GUILD,183,Bear,1,2;wood_s2,1150,2023-07-26 21:53:51,11787910,reptile,Gecko,Small Frill,Imp,Green Thorns,Tiny Turtle,Cottontail,11671720,reptile,Bookworm,Friezard,Cerastes,Green Thorns,Silence Whisper,Snake Jar,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,rune_neutral_1010_s5,rune_reptile_venoki_1,rune_neutral_utility_1,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2014_s5_nft,ecard_beast_2011_s5_nft,ecard_reptile_venoki_1,ecard_neutral_1014_s5,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_neutral_1005,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_neutral_2011_s5_nondec,ecard_reptile_venoki_1,ecard_neutral_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2011_s5_nft,Poison
183,183,1ec9eb7e-6ec2-6f47-a60c-fc945468b453,Yordan13AN ,184,Bear,1,sleepy_beast;fluffy_hooves,1150,2023-07-27 03:03:21,11759211,bug,Cucumber Slice,Beetle Spike,Cuckoo,Scarab,Square Teeth,Ant,11587215,beast,Little Peas,Innocent Lamb,Dual Blade,Ronin,Goda,Cottontail,11551567,beast,Little Peas,Seaslug,Dual Blade,Ronin,Axie Kiss,Shiba,rune_bug_2011_s5_nft,rune_beast_2011_s5_nft,rune_beast_2011_s5_nft,ecard_plant_2012_s5_nft,ecard_neutral_2020_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_beast_buba_1,ecard_beast_tripp_1,ecard_neutral_1010_s5,ecard_neutral_1002,ecard_neutral_2020_s5_nondec,ecard_beast_buba_1,ecard_neutral_1011_s5,ecard_neutral_1011_s5,ecard_neutral_1002,ecard_beast_2011_s5_nft,ecard_beast_2013_s5_nft,Bleed
184,184,1ec9eb6f-74d8-6ddd-a60c-06a2e615aec8,CheiraBago,185,Bear,1,s2_top20k;bronze_s2,1150,2023-07-27 03:39:49,11770638,bug,Nerdy,Innocent Lamb,Oranda,Goldfish,Risky Fish,Nimo,11546355,beast,Little Peas,Innocent Lamb,Dual Blade,Ronin,Goda,Cottontail,11555509,beast,Little Peas,Belieber,Little Branch,Ronin,Goda,Tiny Dino,rune_bug_2011_s5_nft,rune_neutral_2010_s5_nft,rune_beast_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1002,ecard_neutral_2010_s5_nft,ecard_aquatic_2013_s5_nft,ecard_neutral_1001,ecard_neutral_1010_s5,ecard_beast_tripp_1,ecard_neutral_2018_s5_nft,ecard_neutral_1011_s5,ecard_neutral_1014_s5,ecard_beast_buba_1,ecard_neutral_1002,ecard_beast_2012_s5_nft,ecard_beast_buba_1,ecard_neutral_1002,ecard_neutral_1002,Beast Aggro
185,185,1ecb5572-ac16-6c2e-9bd6-2cbfef771492, Andres87,186,Bear,1,s2_top20k;rainbow,1150,2023-07-27 03:42:57,11756980,reptile,Gecko,Small Frill,Watermelon,Green Thorns,Tiny Turtle,Potato Leaf,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,11786444,dusk,Gecko,Small Frill,Watermelon,Green Thorns,Tiny Turtle,Potato Leaf,rune_reptile_2010_s5_nft,rune_reptile_venoki_1,rune_dusk_2010_s5_nft,ecard_neutral_1001,ecard_neutral_2019_s5_nft,ecard_reptile_venoki_1,ecard_neutral_2010_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_plant_2012_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_2013_s5_nft,ecard_neutral_2017_s5_nft,ecard_neutral_1010_s5,ecard_reptile_venoki_1,ecard_neutral_1001,Poison
186,186,1ec9eb6f-5c6b-6dc7-a60c-9dbd7966af03,TGBThiago  ,187,Bear,1,s2_top20k;bronze_s2,1150,2023-07-27 03:40:07,11675392,reptile,Gecko,Small Frill,Oranda,Green Thorns,Silence Whisper,Potato Leaf,11637264,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Tiny Turtle,Gila,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,rune_reptile_venoki_1,rune_neutral_utility_1,rune_reptile_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2017_s5_nft,ecard_plant_2011_s5_nft,,ecard_neutral_2018_s5_nft,ecard_reptile_venoki_1,ecard_neutral_1001,ecard_reptile_venoki_1,ecard_reptile_2013_s5_nft,,ecard_neutral_1001,ecard_neutral_2014_s5_nft,ecard_neutral_1001,ecard_plant_2012_s5_nondec,ecard_neutral_1013_s5,Poison
187,187,1ec9eb6f-4231-6a57-a60c-f9b3680dd480,Willy;D |🚀,188,Bear,1,filipino_puffy;silver_s2,1150,2023-07-27 03:40:31,3608978,plant,Papi,Rosa,Rose Bud,Shiitake,Serious,Hot Butt,12,bug,Bookworm,Curved Spine,Babylonia,Garish Worm,Mosquito,Koi,11552562,plant,Cucumber Slice,Sakura,Rose Bud,Bone Sail,Silence Whisper,Cattail,rune_plant_2011_s5_nft,rune_bird_2011_s5_nft,rune_plant_2010_s5_nft,ecard_neutral_1014_s5,ecard_neutral_1011_s5,ecard_neutral_2012_s5_nft,ecard_neutral_2014_s5_nondec,ecard_plant_2013_s5_nft,ecard_neutral_1005,ecard_neutral_1010_s5,ecard_bird_momo_1,ecard_neutral_1001,ecard_bird_2013_s5_nft,ecard_bird_momo_1,ecard_bird_2012_s5_nft,ecard_plant_0001,ecard_plant_2013_s5_nft,ecard_neutral_1001,ecard_neutral_2017_s5_nft,ecard_neutral_2010_s5_nft,ecard_neutral_2014_s5_nft,Sustain
188,188,1ed6d3e4-830b-6720-b425-91eb973d63f8,Nightz | Gryphus,189,Bear,1,tournament_atia;silver_s4,1150,2023-07-27 03:40:56,11748064,bug,Gecko,Small Frill,Scaly Spoon,Green Thorns,Tiny Turtle,Yam,11694172,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Kotaro,Gila,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,rune_bug_2011_s5_nft,rune_neutral_utility_1,rune_neutral_utility_1,ecard_neutral_1001,ecard_neutral_1010_s5,ecard_reptile_venoki_1,ecard_reptile_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1012_s5,ecard_reptile_venoki_1,ecard_reptile_2012_s5_nondec,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,Poison
189,189,1ec9eb6f-605e-6f25-a60c-501254e9b3d5,Vodka Squirt,190,Bear,1,filipino_puffy;triumphant_mabuhay,1150,2023-07-27 03:42:35,11782196,plant,Puppy,Leafy,Bamboo Shoot,Buzz Buzz,Confident,Shrimp,11798592,beast,Little Peas,Leafy,Bamboo Shoot,Ronin,Axie Kiss,Cottontail,11798614,plant,Little Peas,Leafy,Bamboo Shoot,Risky Beast,Confident,Shrimp,rune_neutral_utility_1,rune_beast_2011_s5_nft,rune_neutral_utility_1,ecard_neutral_1001,ecard_neutral_2017_s5_nft,ecard_neutral_1003,ecard_plant_2011_s5_nft,ecard_neutral_1010_s5,ecard_neutral_1001,ecard_beast_2011_s5_nft,ecard_beast_2011_s5_nft,ecard_neutral_1003,ecard_neutral_1001,ecard_neutral_1011_s5,ecard_neutral_2017_s5_nondec,ecard_neutral_1002,ecard_beast_tripp_1,ecard_neutral_1003,ecard_neutral_1002,ecard_neutral_1002,ecard_neutral_1002,Leafy
190,190,1eca98f2-4954-65b6-9c44-1b057f6992fc,Stryker | Huru,191,Bear,1,s4_top20k;silver_s4,1150,2023-07-26 22:43:51,11800262,plant,Clear,Lotus,Bamboo Shoot,Mint,Piranha,Cattail,11711327,aquatic,Little Owl,Owl,Feather Spear,Tri Feather,Little Owl,Feather Fan,11791618,mech,Gero,Innocent Lamb,Bamboo Shoot,Red Ear,Silence Whisper,Ant,rune_plant_2010_s5_nft,rune_aquatic_puffy_1,rune_neutral_utility_1,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1003,ecard_bird_2012_s5_nft,ecard_bird_2012_s5_nft,ecard_neutral_2012_s5_nft,ecard_neutral_1012_s5,ecard_neutral_1003,ecard_neutral_1001,ecard_plant_olek_1,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_bug_2011_s5_nft,Machine Gun Owl
191,191,1ec9eb7e-3b73-6554-a60c-7dc6622ba116,Gparedes | PRY,192,Bear,1,s3_top20k;silver_s3,1140,2023-07-27 03:01:28,11660236,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Tiny Turtle,Snake Jar,11727710,plant,Gecko,Small Frill,Watermelon,Green Thorns,Tiny Turtle,Potato Leaf,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,rune_reptile_venoki_1,rune_plant_2010_s5_nft,rune_reptile_2010_s5_nondec,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_2011_s5_nondec,ecard_neutral_1001,ecard_reptile_venoki_1,ecard_neutral_1001,ecard_reptile_venoki_1,ecard_plant_2011_s5_nft,ecard_neutral_1001,Poison
192,192,1ee1f043-cbc4-679e-80a9-a577b1d666e5,AT | Alejandro,193,Bear,1,,1140,2023-07-26 20:36:27,11794619,plant,Robin,Leafy,Bamboo Shoot,Tri Feather,Kotaro,Shrimp,11745921,reptile,Neo,Leafy,Bamboo Shoot,Tri Feather,Zigzag,Cottontail,11801535,aquatic,Little Peas,Leafy,Bamboo Shoot,Risky Beast,Risky Fish,Shrimp,rune_neutral_utility_1,rune_neutral_2010_s5,rune_aquatic_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1003,ecard_neutral_1010_s5,ecard_plant_2013_s5_nft,ecard_neutral_1010_s5,ecard_neutral_2019_s5,ecard_bug_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1003,ecard_neutral_1001,ecard_bird_2012_s5_nft,ecard_neutral_1010_s5,ecard_neutral_1002,ecard_neutral_1002,ecard_neutral_2012_s5,ecard_neutral_1002,ecard_neutral_1002,ecard_neutral_1001,Leafy
193,193,1ed07114-3b8a-689e-9dd8-bbf44dbd1d8d,yHagod,194,Bear,1,,1140,2023-07-27 02:30:41,11806114,reptile,Gecko,Leafy,Bamboo Shoot,Tri Spikes,Tiny Turtle,Tiny Dino,11806141,bug,Papi,Leafy,Bamboo Shoot,Garish Worm,Square Teeth,Cottontail,11806142,plant,Blossom,Leafy,Bamboo Shoot,Buzz Buzz,Serious,Shrimp,rune_reptile_2010_s5_nondec,rune_neutral_2010_s5_nft,rune_neutral_offensive_1,ecard_neutral_1001,ecard_neutral_1002,ecard_neutral_1003,ecard_neutral_1002,ecard_reptile_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_neutral_1005,ecard_bug_2012_s5_nft,ecard_neutral_1012_s5,ecard_neutral_1002,ecard_bug_2012_s5_nft,ecard_neutral_1005,,ecard_neutral_1002,ecard_neutral_1012_s5,ecard_neutral_1002,ecard_neutral_1003,,Leafy
194,194,1ec9eb7e-6b1a-6ef0-a60c-7565e27d2c9f,FelNek-Arg,195,Bear,1,ena;bronze_s4,1140,2023-07-27 02:24:40,17,plant,Little Peas,Leafy,Beech,Buzz Buzz,Humorless,Fish Snack,2453665,beast,Kotaro?,Larva,Dual Blade,Ronin,Axie Kiss,Cottontail,11734015,beast,Little Peas,Belieber,Eggshell,Ronin,Axie Kiss,Tiny Dino,rune_bug_2011_s5_nft,rune_beast_2011_s5_nondec,rune_beast_2011_s5_nft,ecard_neutral_2020_s5_nft,ecard_neutral_1001,ecard_bug_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1011_s5,ecard_bug_pomodoro_1,ecard_bug_2012_s5_nft,ecard_neutral_1001,ecard_bug_2013_s5_nft,ecard_beast_2011_s5_nft,ecard_beast_2011_s5_nft,ecard_beast_tripp_1,ecard_neutral_1002,ecard_beast_buba_1,ecard_beast_2012_s5_nft,ecard_bird_2012_s5_nft,ecard_beast_2011_s5_nft,ecard_reptile_2011_s5_nft,Beast Aggro
195,195,1ec9eb6f-550e-6b25-a60c-a7391a7f65aa,METAT8 | zannzaki,196,Bear,1,13;gold_04_s1,1140,2023-07-27 03:39:06,11793551,reptile,Scar,Small Frill,Scaly Spear,Tri Spikes,Silence Whisper,Potato Leaf,11729091,reptile,Gecko,Small Frill,Bamboo Shoot,Green Thorns,Tiny Turtle,Potato Leaf,2583643,reptile,Tricky,Small Frill,Scaly Spear,Tri Spikes,Kotaro,Snake Jar,rune_reptile_2011_s5_nondec,rune_reptile_venoki_1,rune_reptile_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1010_s5,ecard_reptile_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_reptile_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_plant_2013_s5_nft,ecard_reptile_venoki_1,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_reptile_venoki_1,ecard_neutral_1010_s5,ecard_reptile_2013_s5_nft,ecard_neutral_1010_s5,Poison
196,196,1ed1cae7-8089-6d9a-a312-15278b4edefa,れぼる / A-egg,197,Bear,1,0;silver_s4,1140,2023-07-26 19:28:42,11758859,bug,Topaz,Innocent Lamb,Bumpy,Timber,Square Teeth,Nimo,11764774,aquatic,Topaz,Innocent Lamb,Babylonia,Ronin,Hungry Bird,Nimo,11750173,aquatic,Topaz,Innocent Lamb,Babylonia,Goldfish,Hungry Bird,Nimo,rune_bug_2011_s5_nft,rune_aquatic_2010_s5_nft,rune_neutral_offensive_1,ecard_neutral_2010_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_1010_s5,ecard_neutral_2010_s5_nft,ecard_neutral_2017_s5_nft,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_bird_2011_s5_nft,ecard_neutral_2010_s5_nft,ecard_aquatic_2011_s5_nft,ecard_beast_2011_s5_nft,ecard_aquatic_2013_s5_nft,ecard_reptile_2011_s5_nft,ecard_bird_2011_s5_nft,ecard_neutral_2010_s5_nft,ecard_aquatic_2011_s5_nft,ecard_aquatic_2011_s5_nft,ecard_aquatic_2013_s5_nft,Topaz
197,197,1ec9eb73-6399-608b-a60c-41bbdc20cda2,Kamoteng kahoy 😁,198,Bear,1,puffy_vday23;paschal_eggs,1140,2023-07-27 03:40:42,11468367,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Silence Whisper,Yam,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,11709705,reptile,Gecko,Small Frill,Scaly Spoon,Green Thorns,Tiny Turtle,Gila,rune_reptile_2010_s5_nft,rune_reptile_venoki_1,rune_reptile_2010_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_ena_1,ecard_neutral_1001,ecard_reptile_2012_s5_nft,ecard_reptile_venoki_1,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_bug_2011_s5_nft,ecard_neutral_1001,ecard_reptile_2013_s5_nft,ecard_neutral_1001,ecard_reptile_2012_s5_nft,ecard_reptile_venoki_1,ecard_reptile_2013_s5_nft,Poison
